Year,ACO_ID,State_Name,County_Name,State_ID,County_ID,AB_Psn_Yrs_ESRD,AB_Psn_Yrs_DIS,AB_Psn_Yrs_AGDU,AB_Psn_Yrs_AGND,Tot_AB_Psn_Yrs,Tot_AB
2014,A67373,Alabama,Coffee,01,150,.,.,.,*,*,*
2014,A67373,Alabama,Dale,01,220,.,*,.,.,*,*
2014,A67373,Alabama,Houston,01,340,.,.,.,*,*,*
2014,A67373,Alabama,Jefferson,01,360,.,.,.,*,*,*
2014,A67373,Alabama,Monroe,01,490,.,.,.,*,*,*
2014,A67373,Alabama,Talladega,01,600,.,.,.,*,*,*
2014,A67373,Alaska,Lake and Peninsula,02,164,.,.,.,*,*,*
2014,A67373,Alaska,Matanuska-Susitna,02,170,.,.,.,*,*,*
2014,A67373,Arizona,Maricopa,03,060,.,.,.,*,*,*
2014,A67373,Arizona,Pima,03,090,.,.,.,*,*,*
2014,A67373,Arizona,Pinal,03,100,.,.,.,*,*,*
2014,A67373,Arizona,Yavapai,03,120,.,.,.,*,*,*
2014,A67373,Arizona,Yuma,03,130,.,.,.,*,*,*
2014,A67373,Arkansas,Garland,04,250,.,.,.,*,*,*
2014,A67373,Arkansas,Washington,04,710,.,*,.,.,*,*
2014,A67373,California,Alameda,05,000,.,.,.,*,*,*
2014,A67373,California,Fresno,05,090,.,*,.,*,*,*
2014,A67373,California,Humboldt,05,110,.,.,.,*,*,*
2014,A67373,California,Kern,05,140,.,.,.,*,*,*
2014,A67373,California,Los Angeles,05,200,.,*,*,*,14,15
2014,A67373,California,Marin,05,310,.,*,.,*,*,*
2014,A67373,California,Orange,05,400,.,.,.,*,*,*
2014,A67373,California,Riverside,05,430,.,*,.,*,*,*
2014,A67373,California,Sacramento,05,440,.,*,*,.,*,*
2014,A67373,California,San Bernardino,05,460,.,.,.,*,*,*
2014,A67373,California,San Francisco,05,480,.,.,.,*,*,*
2014,A67373,California,San Mateo,05,510,.,.,.,*,*,*
2014,A67373,California,Santa Clara,05,530,.,.,.,*,*,*
2014,A67373,California,Ventura,05,660,.,.,.,*,*,*
2014,A67373,Colorado,Arapahoe,06,020,.,.,.,*,*,*
2014,A67373,Colorado,Douglas,06,170,.,.,.,*,*,*
2014,A67373,Colorado,El Paso,06,200,.,.,.,*,*,*
2014,A67373,Colorado,Garfield,06,220,.,.,.,*,*,*
2014,A67373,Colorado,Grand,06,240,.,.,.,*,*,*
2014,A67373,Colorado,Jefferson,06,290,.,.,.,*,*,*
2014,A67373,Colorado,La Plata,06,330,.,.,.,*,*,*
2014,A67373,Colorado,Larimer,06,340,.,.,.,*,*,*
2014,A67373,Colorado,Otero,06,440,.,*,.,*,*,*
2014,A67373,Colorado,Ouray,06,450,.,*,.,.,*,*
2014,A67373,Colorado,Pitkin,06,480,.,.,.,*,*,*
2014,A67373,Connecticut,Fairfield,07,000,.,*,*,*,63.92,66
2014,A67373,Connecticut,Hartford,07,010,.,.,*,*,26.33,27
2014,A67373,Connecticut,Litchfield,07,020,.,.,*,*,*,*
2014,A67373,Connecticut,Middlesex,07,030,.,*,.,*,*,*
2014,A67373,Connecticut,New Haven,07,040,.,.,.,17.92,17.92,19
2014,A67373,Connecticut,New London,07,050,.,*,.,*,*,*
2014,A67373,Connecticut,Tolland,07,060,.,.,.,*,*,*
2014,A67373,Connecticut,Windham,07,070,.,.,.,*,*,*
2014,A67373,Delaware,Kent,08,000,.,.,.,*,*,*
